id;tense;source/target;is correct target?;is correct translation?;w1;w2;w3;pos1;pos2;pos3;lemma1;lemma2;lemma3;comments;full fragment;source words;source fragment
17098;pretérito indefinido;target;yes;yes;hubo;;;VHfin;;;haber;;;;En geriatría hubo buenos momentos , hicimos el pastel , hicimos ...;a eu;En gériatrie y a eu des bons moments , comme la galette ...
17099;pretérito imperfecto;target;yes;yes;daba;;;VLfin;;;dar;;;;Ella me daba vueltas .;est allé;Elle est allé voir ailleurs .
17100;pretérito perfecto compuesto;target;yes;yes;ha;sumado;;VHfin;VLadj;;haber;sumar;;;María de Guisa ha sumado a sus tropas francesas en Escocia 4000 hombres .;a augmenté;Marie de Guise a augmenté ses troupes de 4 000 hommes .
17101;pretérito perfecto compuesto;target;yes;yes;habéis;elegido;;VHfin;VLadj;;haber;elegir;;;Y habéis elegido bien , Alteza .;avez prise;C' est la bonne décision que vous avez prise , Altesse .
17102;presente;target;yes;yes;rodean;;;VLfin;;;rodear;;;;Las ataduras del Infierno me rodean , y los lazos de la muerte me tienen prisionera .;ont ligotée;Les cordes de l' enfer m' ont ligotée et les tréfonds de la mort me submergent .
17103;pretérito indefinido;target;yes;yes;gustó;;;VLfin;;;gustar;;;;Siempre me gustó la competición , los deportes extremos , la velocidad .;ai aimé;J' ai toujours aimé les sports extrêmes et la vitesse .
17104;pretérito indefinido;target;yes;yes;llevaron;;;VLfin;;;llevar;;;;"No podían tener hijos así que fueron a ver a un hermano que tenía muchos hijos .
Y se llevaron al mayor a mí .";ont pris;Ils sont allés voir un frère ... qui avait des enfants et ont pris l' aîné : moi .
17105;pretérito indefinido;target;yes;yes;Nació;;;VLfin;;;nacer;;;;¡ Nació de esa meretriz , Ana Bolena !;est née;Elle est née de cette putain , Anne Boleyn !
17106;pretérito indefinido;target;yes;yes;hicieron;;;VLfin;;;hacer;;;;Sí que lo hicieron rápido .;ont fait;Ils ont fait putain de vite .
17107;pretérito indefinido;target;yes;yes;detectamos;;;VLfin;;;detectar;;;;A las 8 , detectamos actividad en el sector noroeste .;a détecté;A 20 heures on a détecté une certaine activité dans la zone Nord Ouest .
17108;pretérito indefinido;target;yes;yes;Corrimos;;;VLfin;;;correr;;;;"Corrimos adentro .
Los policías fueron detrás nuestro .";a couru;On a couru à l' intérieur car les flics étaient derrière nous .
17109;pretérito indefinido;target;yes;yes;torpedeamos;;;VLfin;;;torpedeamos;;;;Probablemente las llamas del petrolero que torpedeamos ,;a touché;Forte lueur d' incendie , émanant sans doute du pétrolier qu' on a touché .
17110;pretérito perfecto compuesto;target;yes;yes;ha;vuelto;;VHfin;VLadj;;haber;volver;;;Cálmese , Se ha vuelto loco ?;avez perdu;Vous avez perdu les pédales ?
17111;pretérito indefinido;target;yes;yes;Escribió;;;VLfin;;;escribir;;;;"Escribió una nota : "" Estoy de paso por París la semana que viene espero su llamado "" , tres puntos suspensivos .";a écrit;"Elle a écrit : "" Je viens à Paris , la semaine prochaine appelle-moi "" , 3 petits points ."
17112;pretérito indefinido;target;yes;yes;Llegó;;;VLfin;;;llegar;;;;Llegó esta mañana .;est arrivée;Elle est arrivée ce matin .
17113;pretérito indefinido;target;yes;yes;pude;;;VLfin;;;poder;;;;Por eso pude estar cerca .;a permis;C' est ce qui m' a permis de rester ici .
17114;pretérito indefinido;target;yes;yes;dio;;;VLfin;;;dar;;;;Goebbels me dio esta chaqueta .;a donné;Goebbels m' a donné cette veste .
17115;pretérito indefinido;target;yes;yes;llamaron;;;VLfin;;;llamar;;;;Pero ya había muchos en el barrio así que me llamaron Idriss .;ont appelé;Mais , ils m' ont appelé Idriss .
17116;pretérito indefinido;target;yes;yes;examinó;;;VLfin;;;examinar;;;;El Sargento Bayona examinó el área y capturó un sospechoso .;a ratissé;Le sergent Bayona a ratissé la zone .
17117;presente;target;yes;yes;Tienen;;;VLfin;;;tener;;;;Tienen granadas , huyeron por el monte arriba .;ont emporté;Ils ont pillé la réserve , ils ont emporté des grenades .
17118;presente;target;yes;yes;seguís;;;VLfin;;;seguir;;;;¿ Por qué me seguís hasta aquí ?;avez-vous suivie;Pourquoi m' avez-vous suivie ?
17119;pretérito indefinido;target;yes;yes;cojió;;;VLfin;;;cojió;;;;Entonces Rikkert se la cojió allí .;a baisée;Donc Rikkert l' a baisée comme ça .
17120;pretérito indefinido;target;yes;yes;Hicimos;;;VLfin;;;hacer;;;;Hicimos antes una entrevista aquí .;avons fait;Nous avons fait une interview ici , un peu plus tôt .
17121;pretérito perfecto compuesto;target;yes;yes;he;dicho;;VHfin;VLadj;;haber;decir;;;Se lo he dicho , pero quiere seguir adelante ,;ai dit;Je lui ai dit , mais elle tient à le garder .
17122;pretérito perfecto compuesto;target;yes;yes;Hemos;superado;;VHfin;VLadj;;haber;superar;;;Hemos superado el presupuesto de producción .;avons dépensé;Nous avons dépensé tout l' argent du budget .
17123;pretérito indefinido;target;yes;yes;Encontré;;;VLfin;;;encontrar;;;;Encontré una solución a nuestros problemas .;ai trouvé;J' ai trouvé une solution à nos problèmes .
17124;pretérito indefinido;target;yes;yes;vi;;;VLfin;;;ver|vi;;;;"Estoy relajado , pero tenemos que bajar .
Ya vi lo que había que ver .";ai vu;Il faut redescendre , ça y est j' ai vu .
17125;pretérito perfecto compuesto;target;yes;yes;He;librado;;VHfin;VLadj;;haber;librar;;;He librado a Inglaterra de sus enemigos .;ai délivré;J' ai délivré l' Angleterre de ses ennemis .
17126;pretérito indefinido;target;yes;yes;conseguiste;;;VLfin;;;conseguir;;;;"A ti hay que preguntarte .
¿ Cómo conseguiste la dirección ?";as eu;- Comment t' as eu l' adresse ?
17127;presente;target;yes;yes;está;bajando;;VEfin;VLger;;estar;bajar;;;La fiebre está bajando .;a baissé;Sa fièvre a baissé .
17128;pretérito indefinido;target;yes;yes;salvaste;;;VLfin;;;salvaste;;;;Pero ahora me salvaste la vida .;as sauvé;Mais Tu m' as sauvé la vie .
17129;pretérito indefinido;target;yes;yes;Fueron;;;VSfin;;;ser;;;;Fueron a buscarme a Senegal cuando tenía 8 años .;ont adopté;Ils m' ont adopté à 8 ans .
17130;pretérito indefinido;target;yes;yes;conocieron;;;VLfin;;;conocer;;;;¿ Como se conocieron Usted y el Capitán ?;avez connu;Et , comment avez vous connu le Capitaine ?
17131;pretérito indefinido;target;yes;yes;entraron;;;VLfin;;;entrar;;;;Un pequeño detalle , no tiene mucha importancia , pero el día que entraron en el almacén , con tantas granadas y explosivos , el candado no estaba forzado .;ont attaqués;Ca n' a pas beaucoup d' importance , mais ... le jour où ils ont attaqués la réserve , avec toutes ces grenades , le cadenas n' avait pas été forcé .
17132;pretérito indefinido;target;yes;yes;quedó;;;VLfin;;;quedar;;;;Luego , como por casualidad , mi madre , mi tía quedó embarazada dos veces .;est tombée;Après , ma mère , ma tante est tombée enceinte .
17133;presente;target;yes;yes;está;sudando;;VEfin;VLger;;estar;sudar;;;Nuestro periodista está sudando ,;a eu;Il a eu chaud le petit journaliste ?
17134;pretérito perfecto compuesto;target;yes;yes;He;sabido;;VHfin;VLadj;;haber;saber;;;He sabido de la presencia de un sacerdote en nuestro país con cartas de Roma , dirigidas a quienes desean vuestro daño .;ai appris;J' ai appris qu' un prêtre porte des missives de Rome à ceux qui veulent votre perte .
17135;pretérito indefinido;target;yes;yes;Terminó;;;VLfin;;;terminar;;;;¿ Terminó de jugar ?;avez fini;Vous avez fini de jouer ?
17136;pretérito indefinido;target;yes;yes;convocaste;;;VLfin;;;convocaste;;;;Me convocaste , así que estoy aquí .;as convoqué;Tu m' as convoqué , alors je suis là .
17138;pretérito indefinido;target;yes;yes;murió;;;VLfin;;;morir;;;;Dile a que hora murió su padre .;est mort;Dites lui à quelle heure est mort son père .
17139;pretérito perfecto compuesto;target;yes;yes;He;escuchado;;VHfin;VLadj;;haber;escuchar;;;He escuchado de fuentes confiables , que esto no fue causado por un error técnico sino que fue un ataque fallido contra Maaskantje ordenado por el gobierno holandés ... ... para matar a cinco hombres .;ai entendu;J' ai entendu dire à partir de sources fiables , que cela n' a pas été causé par une erreur technique Mais par un attentat manqué sur Maaskantje , commandé par le gouvernement néerlandais ... ... Pour tuer cinq gars .
17140;pretérito indefinido;target;yes;yes;fueron;;;VSfin;;;ser;;;;De todos modos , los policías no fueron capaces de arrestarlos .;a été;Quoi qu' il en soit , la police n' a pas été en mesure de les arrêter .
17141;pretérito perfecto compuesto;target;yes;yes;ha;oído;;VHfin;VLadj;;haber;oír;;;Su Majestad ha oído un rumor ...;a eu;Il a eu aussi ouÏ-dire ...
17142;pretérito perfecto compuesto;target;yes;yes;ha;muerto;;VHfin;ADJ;;haber;muerto;;;Mi marido ha muerto .;est parti;Mon mari est parti .
17143;pretérito indefinido;target;yes;yes;vimos;;;VLfin;;;ver;;;;"¿ Quién es Éléonore ?
¿ Nunca la vimos ?";a vue;On ne l' a jamais vue ?
17144;pretérito perfecto compuesto;target;yes;yes;ha;compartido;;VHfin;VLadj;;haber;compartir;;;El Rey no ha compartido su lecho desde hace meses .;a partagé;Le roi n' a pas partagé sa couche depuis des mois .
17145;pretérito perfecto compuesto;target;yes;yes;He;perdido;;VHfin;VLadj;;haber;perder;;;He perdido mi Opel Manta .;ai perdu;J' ai perdu mon Opel Manta .
17146;pretérito imperfecto;target;yes;yes;teníais;;;VLfin;;;tener;;;;Pero no teníais valor para ser leal .;avez eu;Mais vous n' avez pas eu le courage d' être fidèle .
17147;pretérito indefinido;target;yes;yes;añadió;;;VLfin;;;añadir;;;;Lo añadió a mano , eso es una señal :;a rajouté;Elle l' a rajouté :
17148;pretérito perfecto compuesto;target;yes;yes;Has;mirado;;VHfin;VLadj;;haber;mirar;;;¿ Has mirado si está en el jardín ?;as fouillé;Tu as fouillé tout le jardin ?
17149;pretérito indefinido;target;yes;yes;tuvo;;;VLfin;;;tener;;;;Luego tuvo otros tipos , otros hijos .;a eu;Elle en a eu d' autres .
17150;pretérito indefinido;target;yes;yes;vio;;;VLfin;;;ver;;;;¿ Y nunca la vio ?;avez vue;Et vous l' avez jamais vue ?
17152;presente;target;yes;yes;está;sufriendo;;VEfin;VLger;;estar;sufrir;;;La gran flota submarina alemana está sufriendo los primeros reveses ,;ont connu;Les sous-marins allemands ont connu leurs premiers revers .
17153;pretérito indefinido;target;yes;yes;pidió;;;VLfin;;;pedir;;;;Y ahora no nos dan más los cheques porque Richard pidió un poco más de dinero .;a demandé;Et maintenant , ils ne nous donnent pas nos prestations Parce que Richard a demandé un peu plus d' argent .
17154;pretérito perfecto compuesto;target;yes;yes;ha;ordenado;;VHfin;VLadj;;haber;ordenar;;;Se me ha ordenado escoltaros desde este lugar hasta la Torre .;ai reçu;J' ai reçu l' ordre de vous mener à la Tour .
17155;pretérito indefinido;target;yes;yes;noté;;;VLfin;;;notar;;;;- Lo noté .;ai remarqué;- J' ai remarqué .
17156;pretérito indefinido;target;yes;yes;convoqué;;;VLfin;;;convoqué;;;;No te convoqué .;ai convoqué;Je ne t' ai pas convoqué .
17157;pretérito perfecto compuesto;target;yes;yes;He;navegado;;VHfin;VLadj;;haber;navegar;;;He navegado en una goleta , Preciosa , Con bodegas grandes como catedrales ,;ai navigué;J' ai navigué une goélette .
17158;pretérito indefinido;target;yes;yes;encantó;;;VLfin;;;encantar;;;;"- Me encantó .
- ¿ Entonces ?";ai kiffé;- J' ai kiffé grave .
17159;pretérito indefinido;target;yes;yes;encontramos;;;VLfin;;;encontrar;;;;Y encontramos esto .;a trouvé;Et on a trouvé ça .
17160;pretérito indefinido;target;yes;yes;preguntó;;;VLfin;;;preguntar;;;;"Me preguntó : "" ¿ Dónde está mi dinero ? """;a demandé;Il a demandé où était son argent .
17161;pretérito perfecto compuesto;target;yes;yes;Ha;destruido;;VHfin;VLadj;;haber;destruir;;;- Ha destruido toda la azada .;a ruiné;- Il a ruiné les outils .
17162;pretérito indefinido;target;yes;yes;dió;;;VLfin;;;dar;;;;Es una raíz mágica , el fauno me la dió .;a donnée;C' est le Faune qui me l' a donnée .
17163;pretérito indefinido;target;yes;yes;asistí;;;VLfin;;;asistir;;;;Que asistí hasta el fin a diario .;ai assistée;Que j' ai assistée jusqu' à la fin au quotidien .
17164;pretérito indefinido;target;yes;yes;cojí;;;VLfin;;;cojí;;;;Y me cojí a tu madre por el culo .;ai baisé;Et j' ai baisé ta mère dans le cul .
17165;pretérito indefinido;target;yes;yes;vio;;;VLfin;;;ver;;;;Él vio salir a Lord Robert .;a vu;Il a vu Lord Robert partir .
17167;pretérito perfecto compuesto;target;yes;yes;ha;conmocionado;;VHfin;VLadj;;haber;conmocionar;;;Este evento inusual ha conmocionado a la tranquila ciudad de Maaskantje .;a choqué;Cet événement inhabituel a choqué la paisible ville de Maaskantje .
17168;pretérito perfecto compuesto;target;yes;yes;Ha;pasado;;VHfin;VLadj;;haber;pasar;;;- Ha pasado de largo ,;est passé;- Il est passé .
17169;pretérito indefinido;target;yes;yes;llegó;;;VLfin;;;llegar;;;;¿ Podría avisarle a Philippe que el joven llegó ?;est arrivé;Prévenez qu' il est arrivé .
17170;pretérito indefinido;target;yes;yes;pegó;;;VLfin;;;pegar;;;;Yvonne dice que es inconsciente , violento . ¿ Le pegó a un vecino ?;a frappé;Il a frappé un voisin ?
17171;pretérito pluscuamperfecto;target;yes;yes;había;oído;;VHfin;VLadj;;haber;oír;;;Nunca había oído hablar del lugar .;ai entendu;Je n' en ai jamais entendu parler .
17172;pretérito indefinido;target;yes;yes;Perdí;;;VLfin;;;perder;;;;Perdí a Manuela .;ai perdu;J' ai perdu Manuela .
17173;pretérito indefinido;target;yes;yes;tornaste;;;VLfin;;;tornaste;;;;Pero debemos asegurarnos de que vuestra esencia no se perdió , que no os tornaste una mortal .;êtes devenue;Mais nous devons d' abord nous assurer que votre essence est intacte , et que vous n' êtes pas devenue mortelle .
17174;pretérito indefinido;target;yes;yes;salvaron;;;VLfin;;;salvar;;;;Por qué no los salvaron sus barcos ?;ont-ils été sauvés;Pourquoi n' ont-ils pas été sauvés par leurs propres escorteurs ?
17175;pretérito indefinido;target;yes;yes;Cayó;;;VLfin;;;caer;;;;¡ Cayó en Schijndel , hijo de puta !;a frappé;Elle a frappé Schijndel , cunt !
17177;presente;target;yes;yes;están;hundiendo;;VEfin;VLger;;estar;hundir;;;Son sus mamparos , Se están hundiendo ,;ont coulé;Ils ont coulé .
17178;pretérito indefinido;target;yes;yes;indicó;;;VLfin;;;indicar;;;;En su evaluación personal , sólo indicó una palabra : pragmático .;avez noté;Vous n' avez noté qu' un seul mot :
17179;pretérito indefinido;target;yes;yes;Ganó;;;VLfin;;;ganar;;;;- Ganó la apuesta .;avez gagné;- Vous avez gagné .
17180;pretérito perfecto compuesto;target;yes;yes;has;hecho;;VHfin;VLadj;;haber;hacer;;;Me has hecho daño con lo que has hecho .;a blessé;Ce que tu as fais m' a blessé .
17181;pretérito perfecto compuesto;target;yes;yes;han;salvado;;VHfin;VLadj;;haber;salvar;;;Los dioses nos han salvado con una pala de arena ,;a lancé;Dieu Tout Puissant a lancé sous la quille une pelletée de sable .
17182;pretérito perfecto compuesto;target;yes;yes;ha;vuelto;;VHfin;VLadj;;haber;volver;;;El resto de los hombres no ha vuelto , los puestos de vigilancia no contestan .;est sorti;Personne d' autres n' en est sorti .
17183;pretérito perfecto compuesto;target;yes;yes;he;encomendado;;VHfin;VLadj;;haber;encomendar;;;Acaba de regresar del exilio y le he encomendado vuestra custodia .;ai chargé;Il revient d' exil et je l' ai chargé de veiller sur votre personne .
17184;presente;target;yes;yes;Hay;;;VHfin;;;haber;;;;- Hay que cambiar dos cojinetes ,;ont dû;- Des positions ont dû être changées .
17185;pretérito indefinido;target;yes;yes;Fuiste;iniciado;;VLfin;VLadj;;ir|ser;iniciar;;;- Fuiste iniciado ?;ont initié;- Ils vous ont ... initié ?
17186;pretérito indefinido;target;yes;yes;entendí;;;VLfin;;;entender;;;;Está bien , entendí .;ai compris;J' ai compris .
17187;pretérito indefinido;target;yes;yes;dije;;;VLfin;;;decir;;;;¿ Le dije que llegué a conocer a su padre , Capitán ?;ai dit;Je vous ai dit que j' ai connu votre père mon Capitaine ?
17188;pretérito indefinido;target;yes;yes;Hablé;;;VLfin;;;hablar;;;;Hablé con Sivot a la cancillería .;ai eu;J' ai eu Sivot , à la chancellerie .
17189;pretérito indefinido;target;yes;yes;Tuvieron;;;VLfin;;;tener;;;;Tuvieron seis horas para hacerlo ,;ont eu;Ils ont eu six heures .
17190;pretérito indefinido;target;yes;yes;hizo;;;VLfin;;;hacer;;;;Me hizo saber que el Rey me desposaría ... pero que no compartiría mi lecho más de dos o tres veces al año .;a dit;Et il a dit que ce roi voulait m' épouser mais ne partagerait ma couche que 2 ou 3 fois par an .
17191;pretérito indefinido;target;yes;yes;Vimos;;;VLfin;;;ver;;;;"Llegamos a la tienda de comestibles .
Vimos a la novia de Rikkert , estaba cerrando la tienda .";est tombé;On est arrivés à l' épicerie , et on est tombé sur la copine de Rikkert . elle fermait le magasin .
17192;pretérito perfecto compuesto;target;yes;yes;has;hecho;;VHfin;VLadj;;haber;hacer;;;"- Cuántas patrullas has hecho ?
- Nueve , señor ,";avez fait;- Vous avez fait combien de missions ?
17193;pretérito indefinido;target;yes;yes;sacaste;;;VLfin;;;sacar;;;;¡ Dime de dónde sacaste todo ese dinero !;as trouvé;Dis-moi où t' as trouvé cet argent !
17194;pretérito indefinido;target;yes;yes;sacaste;;;VLfin;;;sacar;;;;¿ De dónde sacaste el dinero ?;as trouvé;Où as tu trouvé l' argent ?
17195;pretérito indefinido;target;yes;yes;robé;;;VLfin;;;robar;;;;Se la robé a ese hijo de puta .;ai volé;Je l' ai volé à ce cunt .
17196;pretérito perfecto compuesto;target;yes;yes;has;seguido;;VHfin;VLadj;;haber;seguir;;;¿ Me has seguido hasta aquí ?;as suivi;Tu m' as suivi jusqu' ici ?
17197;pretérito indefinido;target;yes;yes;trató;;;VLfin;;;tratar;;;;"No le importo .
Hasta me trató de puta .";a traitée;Il m' a même traitée de pute .
17198;pretérito indefinido;target;yes;yes;Conseguí;;;VLfin;;;conseguir;;;;Conseguí la llave .;ai apporté;J' ai apporté la clé .
17199;pretérito indefinido;target;yes;yes;dije;;;VLfin;;;decir;;;;"Quería hablar con mamá .
Puse la voz gruesa y le dije que íbamos a ir a buscarlo .";ai dit;J' ai dit qu' on allait venir le chercher .
17200;pretérito indefinido;target;yes;yes;dijiste;;;VLfin;;;decir;;;;"No está bien lo que le dijiste a Elisa .
No es muy amable .";as été;Tu n' as pas été correct .
17201;pretérito perfecto compuesto;target;yes;yes;habéis;seguido;;VHfin;VLadj;;haber;seguir;;;No habéis seguido con la prueba .;avez refusé;Vous avez refusé de vous soumettre à l' épreuve .
17202;pretérito indefinido;target;yes;yes;ofendieron;;;VLfin;;;ofender;;;;Viniendo hacia aquí , algunos de la tripulación me ofendieron ,;ont molesté;Des membres de l' équipage m' ont molesté quand je suis arrivé .
17203;presente;target;yes;yes;acaba;;;VLfin;;;acabar;;;;Cuando uno acaba la guardia , viene a dormir en el hedor del otro ,;a fini;Quand un mec a fini son quart , il se couche dans la puanteur du copain .
17204;pretérito indefinido;target;yes;yes;hablaste;;;VLfin;;;hablar;;;;- ¿ Con quién hablaste por teléfono ?;as eu;- T' as eu qui ?
17205;pretérito indefinido;target;yes;yes;Quedó;;;VLfin;;;quedar;;;;Quedó embarazada una vez , dos veces cinco abortos espontáneos sucesivos .;est tombée;Elle est tombée enceinte et a fait 5 fausses couches .
17206;pretérito indefinido;target;yes;yes;Perdimos;;;VLfin;;;perder;;;;¡ Perdimos a los policías !;a semé;On a semé les flics !
17207;pretérito indefinido;target;yes;yes;Erraron;;;VLfin;;;Erraron;;;;¡ Erraron el tiro !;ont raté;Ils m' ont raté !
17208;pretérito indefinido;target;yes;yes;tuve;;;VLfin;;;tener;;;;"Además , con la música , había una buena mezcla y tuve una revelación .
Una luz sobre mí ...";ai eu;Avec la musique , il y a eu un bon mélange et j' ai eu une révélation .
17209;pretérito perfecto compuesto;target;yes;yes;Has;dicho;;VHfin;VLadj;;haber;decir;;;¿ Has dicho 112 , verdad ?;as dit;T' as dit 112 , hein ?
17210;pretérito indefinido;target;yes;yes;detuvieron;;;VLfin;;;detener;;;;- Me detuvieron y ,;ont arrêté;- Ils m' ont arrêté et ...
17211;pretérito pluscuamperfecto;target;yes;yes;había;advertido;;VHfin;VLadj;;haber;advertir;;;- ¿ No os lo había advertido ?;ai-je dit;- Ne vous l' ai-je pas déjà dit ?
17212;pretérito perfecto compuesto;target;yes;yes;Han;sido;reportados;VHfin;VSadj;VLadj;haber;ser;reportar;;Han sido reportados incidentes en la regiones de Utrecht , Holanda Meridional Gelderland y Overijssel .;ont été signalés;Des incidents ont été signalés dans la région d' Utrecht , Zuid-Hollande Gueldre et d' Overijssel .
17213;pretérito perfecto compuesto;target;yes;yes;ha;muerto;;VHfin;ADJ;;haber;muerto;;;¡ La Reina ha muerto !;est morte;La reine est morte !
17214;pasado reciente;target;yes;yes;acabo;de;decirle;VLfin;PREP;VCLIinf;acabar;de;decir;;- ¿ Que acabo de decirle ?;ai dit;- Je l' ai dit .
17216;pretérito indefinido;target;yes;yes;actuó;;;VLfin;;;actuar;;;;La policía no actuó con demasiada fuerza .;a fait;La police n' a pas fait forte impression .
17217;pretérito indefinido;target;yes;yes;pidieron;;;VLfin;;;pedir;;;;"Oiga , me pidieron que le muestre la casa .
También tengo cosas que hacer .";a demandé;On m' a demandé de vous faire une visite .
17218;pretérito indefinido;target;yes;yes;envié;;;VLfin;;;enviar;;;;- Yo te los envié .;ai envoyés;Je te les ai envoyés .
17219;pretérito indefinido;target;yes;yes;robé;;;VLfin;;;robar;;;;No le robé a nadie .;ai volé;J' ai volé personne .
17220;pretérito imperfecto;target;yes;yes;Estabamos;;;VLfin;;;Estabamos;;;;- ¡ Estabamos equivocados !;avons commis;- Nous avons donc commis une erreur !
17221;pretérito indefinido;target;yes;yes;costó;;;VLfin;;;costar;;;;¡ Consideradlo nimio , pero costó la vida a vuestra madre !;est morte;Votre mère en est morte .
17222;pretérito perfecto compuesto;target;yes;yes;ha;ocurrido;;VHfin;VLadj;;haber;ocurrir;;;¡ Aprisa , algo ha ocurrido !;est passé;Vite , il s' est passé quelque chose !
17223;pretérito perfecto compuesto;target;yes;yes;Has;comprobado;;VHfin;VLadj;;haber;comprobar;;;- Has comprobado nuestra marcación ?;Avez-vous vérifié;- Avez-vous vérifié notre position ?
17224;presente;target;yes;yes;veo;;;VLfin;;;ver;;;;Hace años que no veo la nieve ,;ai vu;Ça fait des années que je n' ai vu la neige .
17225;pretérito perfecto compuesto;target;yes;yes;he;tenido;;VHfin;VLadj;;haber;tener;;;Jamás he tenido los pies tan bien peinados .;ai eu;J' ai jamais eu les pieds si bien coiffés !
17226;pretérito perfecto compuesto;target;yes;yes;haya;conocido;;VHfin;VLadj;;haber;conocer;;;Amenazado por las ambiciones de Francia y España y más débil en poder , hombres , tesoro y posesiones que antes jamas yo haya conocido .;a été dépourvu;Il est menacé par les ambitions françaises et espagnoles et n' a jamais été aussi dépourvu de force , d' hommes , d' argent et de richesses .
17227;pretérito indefinido;target;yes;yes;Olvidaron;;;VLfin;;;olvidar;;;;"¡ Caramba !
Olvidaron este billete de lotería .";ont oublié;Quels couillons , ils ont oublié ce billet de loterie
17228;pretérito indefinido;target;yes;yes;comí;;;VLfin;;;comer;;;;¡ No comí en todo el día , puto !;ai mangé;J' ai pas mangé de toute la journée , cunt !
17229;pretérito perfecto compuesto;target;yes;yes;han;producido;;VHfin;VLadj;;haber;producir;;;Desde el comienzo de los disturbios en el sur se han producido brotes de violencia en otras regiones .;ont eu;Depuis le début des émeutes dans le Sud plusieurs cas de violence ont eu lieu dans d' autres régions .
17230;pretérito perfecto compuesto;target;yes;yes;has;hecho;;VHfin;VLadj;;haber;hacer;;;¿ Qué has hecho en los últimos tres meses que has estado viviendo aquí ?;as fait;T' as fait quoi durant les trois derniers mois où t' as vécu ici ?
17231;pretérito perfecto compuesto;target;yes;yes;ha;localizado;;VHfin;VLadj;;haber;localizar;;;El U-32 ha localizado un convoy , Llegaremos dentro de 10 horas ,;a repéré;U-32 a repéré le convoi anglais .
17232;pretérito indefinido;target;yes;yes;cojió;;;VLfin;;;cojió;;;;El nuevo novio sin duda ya se la cojió .;a baisée;Ce type l' a sûrement déjà baisée .
17233;pretérito indefinido;target;yes;yes;costó;;;VLfin;;;costar;;;;"No dije nada por las medias y ya eso me costó .
Pero lo hice .";a coûté;Déjà , je n' ai rien dit pour les bas mais ça m' a coûté .
17234;pretérito indefinido;target;yes;yes;libramos;;;VLfin;;;librar;;;;Aún no nos libramos de ellos , Supongo que no les gustará nada ,;ont eu;Ils ne nous ont pas encore eu .
17235;pretérito perfecto compuesto;target;yes;yes;ha;cometido;;VHfin;NC;;haber;cometido;;;Lord Robert ha cometido traición .;a trahi;Lord Robert a trahi .
17236;presente;target;yes;yes;están;;;VLfin;;;estar;;;;Dónde están nuestros aviones , Herr Goring ?;sont passés;Et où sont passés nos avions de patrouille , Herr Göring ?
17237;pretérito indefinido;target;yes;yes;hiciste;;;VLfin;;;hacer;;;;¿ Lo hiciste con el pie ?;as fait;T' as fait ça avec ton pied ?
17238;pretérito indefinido;target;yes;yes;entendí;;;VLfin;;;entender;;;;- Creo que entendí .;ai compris;- Je crois que j' ai compris .
17239;pretérito perfecto compuesto;target;yes;yes;ha;muerto;;VHfin;VLadj;;haber;muerto;;;Mi hermana no ha muerto aún .;est morte;Ma soeur n' est pas encore morte .
17240;pretérito indefinido;target;yes;yes;Murieron;;;VLfin;;;morir;;;;Murieron por ella .;sont morts;Ils sont morts pour elle .
17241;pretérito perfecto compuesto;target;yes;yes;ha;sido;encontrado;VHfin;VSadj;VLadj;haber;ser;encontrar;;Nuestro ministro de defensa aún no ha sido encontrado .;a été retrouvé;Notre ministre de la Défense n' a pas encore été retrouvé .
17242;pretérito indefinido;target;yes;yes;murió;;;VLfin;;;morir;;;;Y cuando él murió , fui a trabajar en la tienda .;est mort;Et quand il est mort , je suis allée travailler dans un magasin de tissu .
17243;pretérito indefinido;target;yes;yes;hice;;;VLfin;;;hacer;;;;Sí , podía , pero no lo hice .;ai fait;j' aurais pu , mais je ne l' ai pas fait .
17244;pretérito perfecto compuesto;target;yes;yes;ha;vuelto;;VHfin;VLadj;;haber;volver;;;La gente ha vuelto a sus vidas , y hacen frente a los daños .;sont retournés;Les gens sont retournés à leur vie , et font face aux dommages .
17245;pretérito perfecto compuesto;target;yes;yes;ha;sido;arrestado;VHfin;VSadj;VLadj;haber;ser;arrestar;;¿ Y por qué nadie ha sido arrestado ?;ont-ils été arrêtés;Et pourquoi n' ont-ils pas été arrêtés ?
17246;pretérito indefinido;target;yes;yes;llegué;;;VLfin;;;llegar;;;;¿ Le dije que llegué a conocer a su padre , Capitán ?;ai connu;Je vous ai dit que j' ai connu votre père mon Capitaine ?
17247;infinitivo;target;yes;yes;sacárnoslos;;;NC;;;sacárnoslos;;;;Entonces corrimos para sacárnoslos de encima . ¡ Putos !;a semés;On s' est échappé et on les a semés .
17248;pretérito indefinido;target;yes;yes;fueron;;;VSfin;;;ser;;;;"No podían tener hijos así que fueron a ver a un hermano que tenía muchos hijos .
Y se llevaron al mayor a mí .";sont allés;Ils sont allés voir un frère ... qui avait des enfants et ont pris l' aîné : moi .
17249;pretérito indefinido;target;yes;yes;Vi;;;VLfin;;;ver|vi;;;;"Vi muchas fotos en su casa .
¿ La rubia ?";ai vu;J' ai vu des photos .
17250;pretérito indefinido;target;yes;yes;Decidí;;;VLfin;;;decidir;;;;"Decidí daros ...
otra oportunidad .";ai décidé;J' ai décidé de vous accorder une dernière chance .
